Year,Value
1960,59184116488.9977
1961,49557050182.9631
1962,46685178504.3274
1963,50097303271.0232
1964,59062254890.1871
1965,69709153115.3147
1966,75879434776.1831
1967,72057028559.6741
1968,69993497892.3132
1969,78718820477.9257
1970,91506211306.3745
1971,98562023844.1813
1972,112159813640.376
1973,136769878359.668
1974,142254742077.706
1975,161162492226.686
1976,151627687364.405
1977,172349014326.931
1978,148382111520.192
1979,176856525405.729
1980,189649992463.987
1981,194369049090.197
1982,203549627211.606
1983,228950200773.115
1984,258082147252.256
1985,307479585852.339
1986,298805792971.544
1987,271349773463.863
1988,310722213686.031
1989,345957485871.286
1990,358973230048.399
1991,381454703832.753
1992,424934065934.066
1993,442874596387.119
1994,562261129868.774
1995,732032045217.766
1996,860844098049.121
1997,958159424835.34
1998,1029043097554.08
1999,1093997267271.06
2000,1211346869605.24
2001,1339395718865.3
2002,1470550015081.55
2003,1660287965662.68
2004,1955347004963.27
2005,2285965892360.54
2006,2752131773355.16
2007,3550342737010.84
2008,4594307032660.79
2009,5101703073086.04
2010,6087163874512.21
2011,7551500124203.36
2012,8532229986993.65
2013,9570406235659.64
2014,10475682920594.5
2015,11061553079876.4
2016,11233276536737.2
2017,12310409370892.8
2018,13894817549374.2
2019,14279937500606.5
2020,14687673892882
2021,17734062645371.4